customer_id,email_body_text,escalation_level,customer_type,tenure_type,region,issue_category,sentiment,y_prob,fold
CUST7145,"outage Planned communicated incorrectly, caused inconvenience.",0,Commercial,New,Scotland,Meter,Negative,0.5298152658519577,1
CUST5065,High ELECTRICITY! demand not acknowledged in! billing.,0,Commercial,Long-term,Wales,Customer Service,Negative,0.467567844288198,1
CUST2875,HIGH High usage alerts are inaccurate. OR... misleading.,0,Commercial,New,England,Technical Fault,Negative,0.48518962892233497,3
CUST3439,How to update my contact INFORMATION For notifications?...,1,Commercial,Long-term,Scotland,Meter,Neutral,0.6390203560452473,1
CUST1279,"Heating system help fails after short usage, technician required.",0,Commercial,New,Scotland,Technical Fault,Negative,0.5633076184936142,5
CUST9896,"Received double BILLING For the same period, need CORRECTION.",1,Commercial,Long-term,England,Technical Fault,Negative,0.48403348070217056,2
CUST5845,Billing errors recurring despite... corrections last month.,1,Domestic,Long-term,Scotland,Technical Fault,Negative,0.5390313601266972,1
CUST7049,Customer support callback never RECEIVED.,0,Domestic,Long-term,England,Tariff,Negative,0.6694635020359361,3
CUST5773,Automatic METER readings show WRONG consumption.,0,Commercial,Long-term,England,Meter,Negative,0.5049297930712631,1
CUST3317,Looking for guidance on Registering multiple users for one account.,0,Commercial,New,Wales,Tariff,Neutral,0.489449145459546,5
CUST3498,APP notifications about outages are delayed or missing.,0,Commercial,New,Scotland,Billing,Negative,0.6174205308186367,5
CUST3965,"Heating cost higher than hi usual, usual, despite Reduced. usage.",0,Domestic,Long-term,Wales,Meter,Negative,0.6197063172899981,2
CUST5839,"Curious, about the process OF connecting new properties to gas/electricity.",0,Domestic,New,Scotland,Meter,Neutral,0.8249344327272213,5
CUST5807,"Quick to response emergency service request, very professional.",0,Commercial,New,Wales,Technical Fault,Positive,0.7889551437969672,1
CUST7214,Customer support email unanswered for days.,0,Domestic,New,Wales,Safety,Negative,0.5992538708503848,4
CUST6240,"Customer pls Service transferred... me multiple times, unresolved.",0,Commercial,New,Scotland,Tariff,Negative,0.6520013919707547,3
CUST5957,Incorrect meter reading charged for multiple months.,0,Commercial,Long-term,England,Billing,Unknown,0.551163543272599,2
CUST3260,"pls Gas meter installation pending, affecting supply.",0,Domestic,Long-term,England,Meter,Unknown,0.5055906261473088,1
CUST6178,Account locked despite Correct credentials.,0,Domestic,Long-term,England,Tariff,Negative,0.48707972405764943,2
